qtype,question,answer
"symptoms","What are the signs of a severe allergic reaction?","Signs include difficulty breathing, swelling of the face or throat, hives, and rapid heartbeat."
"treatment","How should I treat a sprained ankle?","Treat with rest, ice, compression, and elevation (RICE method)."
"diagnosis","How can I tell if someone has a concussion?","Signs of a concussion include confusion, headache, dizziness, and sometimes loss of consciousness."
"prevention","How can I prevent dehydration?","Prevent dehydration by drinking plenty of water, especially during hot weather or physical activity."
"treatment","What is the first aid for a minor burn?","Cool the burn under running water, cover it with a sterile bandage, and avoid applying creams or oils."
"symptoms","What are the symptoms of heat exhaustion?","Symptoms include heavy sweating, weakness, dizziness, nausea, and muscle cramps."
"treatment","How should I treat a nosebleed?","Pinch the nose, lean forward, and hold the position for several minutes until the bleeding stops."
"prevention","How can I prevent hypothermia in cold weather?","Wear warm layers, stay dry, and avoid prolonged exposure to cold temperatures."
"risk factors","Who is at risk of heatstroke?","Risk factors include hot weather, physical exertion, dehydration, and certain medications."
"treatment","What is the first aid for a bee sting?","Remove the stinger, wash the area, apply ice, and monitor for signs of an allergic reaction."
"diagnosis","How can I recognize shock in an injured person?","Signs of shock include pale, clammy skin, rapid pulse, shallow breathing, and confusion."
"treatment","How should I treat someone in shock?","Keep them lying down, cover them to keep warm, and seek emergency help."
"symptoms","What are the symptoms of carbon monoxide poisoning?","Symptoms include headache, dizziness, weakness, nausea, and confusion."
"prevention","How can I prevent choking?","Chew food thoroughly, avoid talking while eating, and cut food into small pieces."
"treatment","What should I do if someone is choking?","Perform the Heimlich maneuver to dislodge the object blocking their airway."
"symptoms","What are the signs of a heart attack?","Signs include chest pain, shortness of breath, sweating, nausea, and pain radiating to the arm."
"treatment","What is the first aid for a heart attack?","Call emergency services, have the person sit down, and give them aspirin if not allergic."
"cause","What causes hypothermia?","Hypothermia is caused by prolonged exposure to cold temperatures, leading to a drop in body temperature."
"treatment","How should I treat hypothermia?","Move the person to a warm area, remove wet clothing, and wrap them in blankets."
"diagnosis","How can I tell if someone has heatstroke?","Signs include a high body temperature, altered mental state, dry skin, and rapid pulse."
"prevention","How can I prevent frostbite?","Wear warm, protective clothing, cover exposed skin, and avoid prolonged exposure to freezing temperatures."
"treatment","What is the first aid for frostbite?","Move to a warm place, gradually rewarm the affected area, and avoid rubbing the skin."
"symptoms","What are the symptoms of food poisoning?","Symptoms include nausea, vomiting, diarrhea, and abdominal pain."
"treatment","How should I treat food poisoning at home?","Stay hydrated, rest, and gradually reintroduce bland foods."
"cause","What causes dehydration?","Dehydration occurs when the body loses more fluids than it takes in, often due to sweating, illness, or insufficient intake."
"treatment","What should I do if someone faints?","Have them lie down, elevate their legs, and check for breathing and responsiveness."
"prevention","How can I avoid blisters when hiking?","Wear well-fitting shoes, use moisture-wicking socks, and apply blister prevention products."
"symptoms","What are the symptoms of a broken bone?","Symptoms include pain, swelling, bruising, and an inability to move the affected area."
"treatment","What is the first aid for a broken bone?","Immobilize the area, apply ice, and seek medical attention."
"diagnosis","How can I recognize a stroke?","Signs of a stroke include facial drooping, arm weakness, and difficulty speaking (FAST)."
"treatment","What should I do if I suspect someone is having a stroke?","Call emergency services immediately and keep the person comfortable until help arrives."
"prevention","How can I prevent sports injuries?","Warm up before exercise, use proper equipment, and gradually increase activity levels."
"cause","What causes muscle cramps?","Muscle cramps are often caused by dehydration, overuse, or mineral imbalances."
"treatment","What is the first aid for muscle cramps?","Gently stretch and massage the affected muscle, and drink water if dehydrated."
"symptoms","What are the symptoms of insect bites?","Symptoms include redness, swelling, itching, and sometimes a raised bump."
"treatment","How should I treat an insect bite?","Wash the area, apply ice, and use anti-itch cream if needed."
"symptoms","What are the symptoms of Lyme disease?","Symptoms include a bull's-eye rash, fever, chills, body aches, and fatigue."
"diagnosis","How is Lyme disease diagnosed?","Lyme disease is diagnosed through physical exams and blood tests to detect antibodies."
"treatment","What is the treatment for Lyme disease?","Treatment involves antibiotics, often doxycycline or amoxicillin."
"prevention","How can I prevent Lyme disease?","Prevention includes using insect repellent, wearing long clothing, and checking for ticks after outdoor activities."
"risk factors","Who is at risk of developing COPD?","Risk factors include smoking, exposure to pollutants, and genetic factors."
